,Date,Open,Volume,price action_bearish,price action_bullish,Negativity,Neutrality,Positivity,Number of tweets
253,2021-01-05,241.220001,96735600,0,0,0.14817529333001572,0.6654073958206638,0.1864173081656537,190
254,2021-01-06,252.830002,134100000,0,0,0.13897299194068743,0.6718658037269682,0.18916120549184018,248
255,2021-01-07,259.209991,154496700,0,1,0.12248827495848735,0.5835887747304156,0.29392294846068595,475
256,2021-01-08,285.333344,225166500,0,0,0.13659759922106426,0.6518387730140618,0.21156363205002066,475
257,2021-01-11,283.133331,177904800,1,0,0.13949838905756673,0.6686133960121027,0.1918882152788558,339
258,2021-01-12,277.0,138812100,0,0,0.12306723632668849,0.6835863066447025,0.19334645805074552,465
259,2021-01-13,284.253326,99937500,0,0,0.11228787550063046,0.6909118382412097,0.1968002859659112,471
260,2021-01-14,281.130005,93798900,0,0,0.1457188721460154,0.6651628550307119,0.18911827099118328,283
261,2021-01-15,284.0,116332800,0,0,0.14518014363536638,0.6845637252870114,0.17025613091485287,251
262,2021-01-19,279.266663,76101000,0,0,0.12106584830838507,0.6648783167410636,0.21405583597907926,169
263,2021-01-20,286.246674,76997700,0,0,0.11817475821213679,0.6691049387474978,0.21272030547777215,175
264,2021-01-21,285.0,61563300,0,0,0.1578348773450404,0.6563501435856498,0.18581497573968367,196
265,2021-01-22,278.103333,60199500,0,0,0.13533169198601971,0.6426124479933382,0.22205585744499323,178
266,2021-01-25,285.0,123520200,0,0,0.11051733269744483,0.6878143386750195,0.20166833218259056,198
267,2021-01-26,297.126678,69394800,0,0,0.11283888438054875,0.674470805548084,0.2126903048891866,234
268,2021-01-27,290.116669,82002000,0,0,0.148679324199206,0.6601209935228984,0.19119968554377909,385
269,2021-01-28,273.333344,79134000,0,0,0.16886396206538468,0.6510514543162276,0.18008458263341917,460
270,2021-01-29,276.666656,104972400,0,0,0.13068784665028127,0.6693663018798565,0.19994585243750687,479
271,2021-02-01,271.429993,76174200,0,0,0.1152277243619629,0.6967765022861864,0.18799578058619645,399
272,2021-02-02,281.559998,73038600,0,0,0.13729803638633153,0.6758290155218973,0.18687294710502356,286
273,2021-02-03,292.339996,55030500,1,0,0.1610154692901548,0.6426313799427787,0.19635315536208786,232
274,2021-02-04,285.0,47438100,0,0,0.12028174386337645,0.647969803261283,0.23174844981845497,442
275,2021-02-05,281.666656,55699800,0,0,0.13275342300851303,0.6622159811258146,0.20503059251396893,307
276,2021-02-08,289.890015,60485100,0,0,0.12635327926660556,0.6742639065207855,0.19938281483254947,477
277,2021-02-09,285.040009,45473100,0,0,0.1393615793694695,0.6674722515073597,0.19316616520892088,466
278,2021-02-10,281.213318,108648300,1,0,0.14490773629783765,0.6850207959350866,0.17007146656850358,475
279,2021-02-11,270.813324,64868400,0,0,0.12238174092790242,0.6870626953693164,0.19055556091505801,448
280,2021-02-12,267.08667,71304900,0,0,0.13759668452965235,0.6779624756231185,0.1844408357949766,427
281,2021-02-16,272.666656,59406900,1,0,0.13625180876590226,0.6400847438448478,0.22366344455101436,383
282,2021-02-17,259.696655,77989500,0,0,0.12498609213829366,0.6717441147200442,0.20326978865030673,371
283,2021-02-18,260.299988,53871300,0,0,0.13201928758480774,0.6985316437622102,0.16944906651654917,368
284,2021-02-19,265.0,56874900,0,0,0.12379042194572527,0.6818754388408471,0.19433413432456143,349
285,2021-02-22,254.213333,111809100,1,0,0.14526186507355274,0.6883866770118648,0.16635145771429477,362
286,2021-02-23,220.710007,199820700,0,0,0.16871215886588112,0.6617731367223579,0.16951470162288104,446
287,2021-02-24,237.28334,110301000,0,0,0.1379360973982525,0.6981921122403197,0.1638717963568863,378
288,2021-02-25,242.050003,117071700,0,0,0.15087619258891544,0.666896814591854,0.182227000592267,368
289,2021-02-26,233.333328,123267600,0,0,0.1889270978431046,0.6549838434602583,0.15608905865057796,261
290,2021-03-01,230.036667,81408600,0,1,0.15436461012127503,0.6375150195198339,0.2081203737049597,322
291,2021-03-02,239.426666,71196600,1,0,0.13968143943479167,0.6975545790232885,0.16276398259955188,288
292,2021-03-03,229.330002,90624000,0,0,0.13936589266209545,0.6423008322571158,0.2183332783063905,263
293,2021-03-04,218.600006,197758500,0,0,0.16683797673902728,0.679725985052199,0.15343603673065517,266
294,2021-03-05,208.686661,268189500,0,0,0.1559110540979443,0.6436655029735893,0.20042343876853416,386
295,2021-03-08,200.183334,155361000,0,0,0.15402803949134025,0.6722014784078792,0.17377048012648433,262
296,2021-03-09,202.726669,202569900,0,1,0.15370214827101958,0.6581287474627534,0.18816910478909335,300
297,2021-03-10,233.433334,181817100,0,0,0.13821540657664808,0.6682180798507628,0.19356651729155855,271
298,2021-03-11,233.133331,108761700,0,0,0.15456449203853545,0.6935310811278537,0.15190443479555688,129
299,2021-03-12,223.333328,100751400,0,1,0.15828649006285192,0.6470593833950333,0.19465412804956747,210
300,2021-03-15,231.363327,88006800,0,0,0.12071698387858674,0.7061140519335533,0.17316896316053357,290
301,2021-03-16,234.449997,96587100,0,0,0.14852625342534378,0.6875818245230625,0.1638919187576464,242
302,2021-03-17,218.956665,121117500,0,1,0.14959985166182552,0.6746517158824779,0.1757484288322374,259
303,2021-03-18,228.096664,99674400,1,0,0.15845900764759582,0.681470585297301,0.16007040058476693,232
304,2021-03-19,215.53334,128682000,0,0,0.15695295122564826,0.681547291805825,0.16149975763517851,218
305,2021-03-22,228.196671,118536600,0,0,0.13581713380349894,0.703474155902491,0.1607087055321022,264
306,2021-03-23,225.256668,91475700,0,0,0.13232868052102942,0.6581703210954755,0.20950100238643465,303
307,2021-03-24,222.636673,101385600,1,0,0.1466355213843735,0.658769399051932,0.19459507636926596,440
308,2021-03-25,204.333328,117674700,0,1,0.14343578806538018,0.6759114049848427,0.18065280626713673,466
309,2021-03-26,213.956665,101558400,0,0,0.1635959007896409,0.6697035146658259,0.1667005839659153,381
310,2021-03-29,205.213333,85911000,0,0,0.11734613400518742,0.6928491385598277,0.18980472494932768,255
311,2021-03-30,200.583328,118297200,0,0,0.13128853748880906,0.6932524739898068,0.1754589888289765,262
312,2021-03-31,215.539993,100011900,0,0,0.14686316981677908,0.6361384811281259,0.2169983537084944,366
313,2021-04-01,229.456665,105895200,1,0,0.15026760402620107,0.6619735333537778,0.1877588678149098,314
314,2021-04-05,235.903336,125528400,0,0,0.16470703414898025,0.6702815671757388,0.1650113973022072,279
315,2021-04-06,230.100006,84815400,0,0,0.1552472003027148,0.664001160315168,0.18075163605802866,214
